model,family,feature_set,feature_description,final_feature_count,balanced_accuracy_mean,balanced_accuracy_std,brier_score_mean,brier_score_std,f1_mean,f1_std,lift_at_top_20pct_mean,lift_at_top_20pct_std,log_loss_mean,log_loss_std,optimal_balanced_accuracy_mean,optimal_balanced_accuracy_std,optimal_f1_mean,optimal_f1_std,optimal_precision_mean,optimal_precision_std,optimal_recall_mean,optimal_recall_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,threshold_f1_mean,threshold_f1_std,valid_f1_optimal_mean,valid_f1_optimal_std,delta_f1_mean,delta_optimal_f1_mean,delta_pr_auc_mean
rf_no_gender_reference,random_forest,no_gender_current,"Conjunto atual sem gender, usado como referência justa.",79,0.7695281511036809,0.010410612047948326,0.15553730390024914,0.004549297880269803,0.6401570719861087,0.012297511587314798,2.4915991204299623,0.08467273486569064,0.46790438775801385,0.011912617035472356,0.7614021201201645,0.00901179736496186,0.6344429220649046,0.01327840078002942,0.5635136295783566,0.024879852422844205,0.7276727215380425,0.02346001677967537,0.6557790865231754,0.021730845281428282,0.5510322772320982,0.01075354096472918,0.7640277558744678,0.021562959454239635,0.8452339216951337,0.009751130315604681,0.534,0.03200000000000001,0.6581968017796598,0.013908705105270903,0.0,0.0,0.0
rf_no_gender_refined,random_forest,no_gender_refined,"Remove gender e adiciona interações de contrato, cobrança e proteção.",172,0.7659528230162639,0.012757182347954954,0.15534616527908401,0.004563017471686718,0.636072211092539,0.015740532615917707,2.4862559503094657,0.06359742606171999,0.4685673395226245,0.011674427504009403,0.7644440707674548,0.010538566715223687,0.6352109041619567,0.01404037474481503,0.5514763047699767,0.017864518899898253,0.7496050235838914,0.01825443081197424,0.6577722308134447,0.02205692529766944,0.5485536080601122,0.0141837432835461,0.7570701495319063,0.022055924312805054,0.8452112327079947,0.009644791703071835,0.5139999999999999,0.0233238075793812,0.6538865291109058,0.012304666122703749,-0.004084860893569742,0.000767982097052089,0.001993144290269311
rf_family_refined,random_forest,family_refined,Remove gender e resume Partner/Dependents em has_family_context.,170,0.7656420196630341,0.011597565812381782,0.1554500337818399,0.0045767248166156,0.6355023593180712,0.014121364764477505,2.505021578792401,0.05323908122643064,0.4687534545559003,0.011671623762511912,0.7623297559619144,0.012026386174924776,0.6335737467020565,0.015472442655829153,0.5541705038709844,0.016515269991766335,0.7399650184226749,0.020356423007545074,0.6585865149101999,0.02097341319115494,0.5473679468993591,0.011812248640014388,0.7576077762325989,0.02020423460010404,0.845292960510735,0.009677990503460788,0.5219999999999999,0.019390719429665314,0.6548490786515762,0.013209673746295293,-0.0046547126680375195,-0.0008691753628481402,0.0028074283870245242
rf_refined_depth10_leaf2,random_forest,no_gender_refined,"Remove gender e adiciona interações de contrato, cobrança e proteção.",172,0.7618051016204612,0.008174505880220442,0.15017567843376514,0.004189140318685906,0.6345450683145162,0.010429665024297156,2.4943179222522653,0.05064543220446798,0.4547161538542701,0.011520210938910156,0.7607678246646616,0.011313240924731656,0.6320854146577982,0.012896956392242974,0.5562063946405249,0.015672341430825198,0.7335522071368153,0.03338286230653489,0.6558725038520611,0.01970072705296501,0.561801023718711,0.011511346848619283,0.7292540608736792,0.016398024239276013,0.8439698111355742,0.008959429805425643,0.49399999999999994,0.03382306905057553,0.6527324273697273,0.014620193396115814,-0.005612003671592536,-0.002357507407106385,9.3417328885681e-05
stack_rf_hgb_refined,stacking,no_gender_refined,"Remove gender e adiciona interações de contrato, cobrança e proteção.",172,0.7690819547982023,0.01010387368485215,0.1639090200144023,0.0046769348267522255,0.6343901592087533,0.01197854897769123,2.5211100329382132,0.0644429211651191,0.495647187163744,0.011343449970630843,0.7609534370162755,0.009204279477047547,0.6315067279650508,0.010422031018414567,0.5550802910113352,0.037863413071379366,0.7410832819601153,0.05889326425658704,0.6652544659059575,0.01927567854860193,0.5275466483035524,0.010719320604753644,0.7956043640951383,0.015850039229837073,0.8482012619651929,0.009963730581172696,0.5679999999999998,0.07807688518377252,0.6548175446106533,0.010489538716209463,-0.005766912777355415,-0.002936194099853795,0.00947537938278209
hgb_no_gender_refined,hgb,no_gender_refined,"Remove gender e adiciona interações de contrato, cobrança e proteção.",172,0.7652136266832981,0.012402908206492558,0.1589336151516753,0.004191278385401116,0.6317623985408456,0.016841028102093262,2.5103945294780403,0.05810107736905518,0.4764400217876176,0.010510457770682114,0.7555985163994929,0.01028898688556434,0.6284772091316622,0.013889378589925191,0.5648351199005252,0.01766211762740749,0.7089217358890912,0.019600990449694346,0.6530369687131632,0.019780138072031116,0.5315240786527223,0.022417629719238098,0.7795587160040716,0.015028603603239942,0.8420323839847818,0.008805187907104368,0.5719999999999998,0.01720465053408527,0.6454724867748258,0.011117300321466147,-0.008394673445263123,-0.00596571293324244,-0.0027421178100122123
extra_trees_family_refined,extra_trees,family_refined,Remove gender e resume Partner/Dependents em has_family_context.,170,0.7571152489906467,0.006615211840579353,0.15656309579060942,0.004565963340726422,0.625465629691444,0.007965817586885296,2.4460534169563304,0.05026815137839867,0.47071918171160937,0.013125111260571766,0.7526112906132589,0.006822885902003103,0.6231988031421363,0.009162939756631516,0.5546983082704834,0.024282232448615763,0.7137661108801308,0.030775175599908736,0.6496396227242436,0.02296129492589931,0.5406552147725471,0.008432035819355132,0.7420997548422245,0.014950448539211387,0.839792454273448,0.009276627594417499,0.53,0.03346640106136303,0.6421662828219725,0.00867706709825149,-0.01469144229466468,-0.011244118922768331,-0.006139463798931821
rf_refined_depth12_leaf2_weight14,random_forest,no_gender_refined,"Remove gender e adiciona interações de contrato, cobrança e proteção.",172,0.7150463301333583,0.007831959894674419,0.1407835039449876,0.003359094815828545,0.5841805668027973,0.011052817572947548,2.421939955094969,0.03964573209838738,0.43316124025580693,0.01314410954719894,0.7541883681184716,0.007876516110519234,0.6225395561631074,0.009489878193744075,0.5428933845085047,0.025616477971656833,0.7335464724520078,0.03925060793238147,0.6398398183677358,0.017971540840614437,0.6223588540907434,0.010365529710916813,0.5510831385929951,0.022615690569827384,0.8352208191160185,0.007790343948484103,0.34199999999999997,0.03429285639896448,0.643784063749417,0.013050380759116095,-0.05597650518331143,-0.011903365901797192,-0.015939268155439557
