model,balanced_accuracy_mean,balanced_accuracy_std,brier_score_mean,brier_score_std,business_campaign_cost_mean,business_campaign_cost_std,business_fn_mean,business_fn_std,business_fp_mean,business_fp_std,business_incremental_savings_mean,business_incremental_savings_std,business_operational_net_value_mean,business_operational_net_value_std,business_saved_value_mean,business_saved_value_std,business_threshold_mean,business_threshold_std,business_tp_mean,business_tp_std,f1_mean,f1_std,lift_at_top_20pct_mean,lift_at_top_20pct_std,log_loss_mean,log_loss_std,optimal_balanced_accuracy_mean,optimal_balanced_accuracy_std,optimal_f1_mean,optimal_f1_std,optimal_precision_mean,optimal_precision_std,optimal_recall_mean,optimal_recall_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,precision_at_top_20pct_mean,precision_at_top_20pct_std,recall_mean,recall_std,recall_at_top_20pct_mean,recall_at_top_20pct_std,roc_auc_mean,roc_auc_std,threshold_business_mean,threshold_business_std,threshold_f1_mean,threshold_f1_std,valid_f1_optimal_mean,valid_f1_optimal_std
hist_gradient_boosting_regularized,0.7636167945770607,0.008402689665894424,0.16150897001394068,0.004531118421197637,65910.85,2841.308573703319,18.2,5.979966555090422,567.8,27.549228664338315,254019.83000000002,5062.122676170528,240036.47000000003,9077.443856317694,319930.68,6410.899348578164,0.194,0.018547236990991398,355.6,6.053098380168622,0.6284131498807048,0.010886220660021354,2.5291379896286896,0.07961517197679108,0.48208079646644386,0.011563757918297474,0.7581341067860526,0.011459283445700578,0.6328083657605069,0.014996622254608452,0.5758773010187934,0.031716133033849445,0.7068371779616063,0.045194913575586144,0.6531266089624742,0.02084926434967596,0.5238787979009104,0.013636474498939434,0.6711743772241993,0.02165853957964833,0.7854468036300555,0.011264970180529285,0.5045318346690371,0.015789942918135833,0.84326302280221,0.009565949151007695,0.194,0.018547236990991398,0.59,0.048166378315169185,0.6547140402052175,0.01989433817826451
hist_gradient_boosting_calibrated_sigmoid,0.7040493586720402,0.009143276540845355,0.13581887091805364,0.0033736364390364484,67405.99,5548.994187273936,16.8,8.23164625090267,581.4,79.42442949118363,254611.25000000006,4360.401531510604,242714.45,10655.148255561726,322017.24,9059.571093953617,0.09,0.026076809620810593,357.0,8.461678320522472,0.5693205319404824,0.015088144768423514,2.494312213077622,0.0595278553768491,0.4172333862249412,0.009134664210204119,0.7597706285521207,0.012254640519889509,0.6317784026804587,0.01728019183286993,0.5594884675609263,0.03476509950062052,0.7298289630256196,0.03769360834464183,0.6581065970995946,0.020726107991038186,0.6502244766955895,0.01702531711848533,0.6619217081850535,0.016073437424393187,0.5066694384309903,0.018934277748158087,0.49758569769609035,0.01179722236910291,0.845071403504636,0.008982074433116034,0.09,0.026076809620810593,0.34199999999999997,0.03762977544445355,0.653006219570512,0.017589240198560355
stacking_lr_hgb,0.7640320713588834,0.01014287128385857,0.16420709807929754,0.005110528335789241,67426.92,4630.269321389419,15.8,6.968500556073739,586.4,48.701540016718155,254132.4,5529.6874883667915,241777.68000000002,10252.8991806513,321559.31999999995,7445.534097269325,0.16999999999999998,0.027568097504180444,358.0,6.957010852370434,0.6282673904103622,0.01148827111219769,2.5264479224548166,0.08961429986726059,0.49438885475866307,0.012345413129691658,0.7585507498510785,0.009329642470839145,0.6307414975887259,0.013462584198400322,0.5616401863948692,0.03366826261836044,0.7244871041275394,0.04274027529471646,0.6633348735584997,0.018727573381752172,0.5219052709595264,0.008305469131728997,0.6704626334519573,0.02430373107325819,0.7891772160972603,0.018971265869248324,0.5039942079683446,0.017768274705527335,0.8473923614611387,0.010867196742783448,0.16999999999999998,0.027568097504180444,0.5839999999999999,0.0662117814289874,0.6539773004881113,0.016134933478678747
logistic_elasticnet_expanded,0.7641627605462921,0.009429821439332435,0.16390990933479985,0.004915967581480586,66153.43000000001,6707.091425021728,20.4,14.56845908117945,571.2,94.58414243413111,251898.28999999998,6108.356122591425,236035.96999999997,15539.56533522093,318051.72,12086.76956980649,0.20599999999999996,0.08685620300243384,353.4,14.961283367412035,0.6278975545641761,0.010474189787243916,2.5238110898906227,0.06196608323635184,0.48885314366373966,0.012543792606293843,0.7545928300474861,0.00763975516506595,0.6305590884979584,0.013080219656479897,0.5831881324101922,0.032799037260091285,0.6891327722900031,0.025177111231233437,0.6568853101087762,0.017994423856861713,0.5198260578080895,0.007684225649640473,0.6697508896797153,0.016752458784255967,0.7929190979340797,0.019984802357090894,0.5034694843084686,0.012249378534065066,0.8458358525581071,0.011477681333184539,0.20599999999999996,0.08685620300243384,0.6079999999999999,0.03919183588453084,0.6516244356645827,0.013689040209802016
hist_gradient_boosting_deeper,0.7594419490622797,0.00792819078139569,0.15984624045476686,0.004343704928261143,68316.38,2471.4208566328803,14.2,3.1874754901018454,602.6,31.721286228650943,255457.9,3454.9294107116134,245318.13999999998,4060.478711112782,323774.28,4047.3711005540513,0.16399999999999998,0.031999999999999994,359.6,3.2,0.6245124040606087,0.010364187462387065,2.5103795448078623,0.08566576861353109,0.4787897879195543,0.01141096652443302,0.7583230945941284,0.01261937099516518,0.6281171970556194,0.013318435912280331,0.5520971375315954,0.027406861389986083,0.7346618686470444,0.05716488392376176,0.6498369303472765,0.022957086105132148,0.5243964101486338,0.012630703184124938,0.6661921708185052,0.023107022179000618,0.7720735186592307,0.006958093029290731,0.5007885191610157,0.01696543404959677,0.8418858373749492,0.009472028809898439,0.16399999999999998,0.031999999999999994,0.5479999999999999,0.05844655678480983,0.6492353340410345,0.01843121979451854
logistic_l2_calibrated_sigmoid,0.7084102275713351,0.008573065514821884,0.13530407363913205,0.004243276737788766,62560.31,5084.976100474809,23.8,11.496086290559932,518.2,74.467173976189,253341.01,6049.698753690131,235328.29000000004,13409.43620076548,315901.32,10464.688851638155,0.118,0.03969886648255841,350.0,11.865917579353061,0.5769905018406685,0.01410632127055222,2.515765388330253,0.05853576889396426,0.41610639356334955,0.011536593623843402,0.7530249908872579,0.006978680725564502,0.6279213208539787,0.011809517320775141,0.5784095267624938,0.031775073704101986,0.6896689653194936,0.02700390835644348,0.6572113523087058,0.018315382737306932,0.6663510205209455,0.013264359716213607,0.6676156583629893,0.0158512864422207,0.5088185115625583,0.014931554037816092,0.5018637725624006,0.011530422192532471,0.8454652154632785,0.011452161991987243,0.118,0.03969886648255841,0.35799999999999993,0.03429285639896449,0.6511795408978187,0.013247785951550958
