model,selector,k,balanced_accuracy_mean,balanced_accuracy_std,best_epoch_mean,best_epoch_std,best_valid_pr_auc_mean,best_valid_pr_auc_std,brier_score_mean,brier_score_std,f1_mean,f1_std,lift_at_top_20pct_mean,lift_at_top_20pct_std,log_loss_mean,log_loss_std,optimal_balanced_accuracy_mean,optimal_balanced_accuracy_std,optimal_f1_mean,optimal_f1_std,optimal_precision_mean,optimal_precision_std,optimal_recall_mean,optimal_recall_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,selected_features_mean,selected_features_std,threshold_f1_mean,threshold_f1_std,valid_f1_optimal_mean,valid_f1_optimal_std
mlp_select_mutual_info_k50,mutual_info,50,0.7636754135007109,0.012462000059460054,10.4,6.974238309665077,0.6735300369030404,0.025891440783154467,0.1681139051914215,0.00694979618351931,0.6266674498666416,0.01647853406305008,2.518427577997198,0.10665004860632621,0.5027462170448234,0.0133228950609655,0.7605123130392142,0.008839339905764524,0.6332644414815144,0.012118456962762826,0.5620080966133251,0.014916416629772063,0.725510745365658,0.013822996037329083,0.6478935955679639,0.02108764878747763,0.5164103601712297,0.026630719301221538,0.7998738369342374,0.033546783674670774,0.8436846850801976,0.009889173723340312,50.0,0.0,0.584,0.02727636339397174,0.6519184107260598,0.024180690182408027
mlp_compact_select_f_classif_k50,f_classif,50,0.7569408213963996,0.015554760989617422,12.2,11.906300852909775,0.6826524591788259,0.03199445120297572,0.17374862134456634,0.007684356497499087,0.6169735145064467,0.017178587514959175,2.459437436604054,0.10120316080805722,0.5168622512275205,0.02292365624459108,0.7534756113408528,0.010977138872201432,0.6278782310497161,0.015510123011301878,0.5744089885805624,0.020847013242288,0.6928789551404281,0.015993897392102108,0.642206131065426,0.020589454612384837,0.5015795246355136,0.012265872566441608,0.8014752476667001,0.02820751044415172,0.8374870126417967,0.011152775990968247,50.0,0.0,0.61,0.014142135623730963,0.6652473294778581,0.028565606307427882
mlp_select_f_classif_k65,f_classif,65,0.7595211552037728,0.009253901903808127,19.0,6.0332412515993425,0.6755535925463557,0.030641171211224748,0.17390308380126954,0.00493613052774895,0.6171299616066324,0.009624945501054104,2.4996577148270833,0.08030869441065396,0.5125689014734128,0.011916298285506392,0.7538001417163869,0.01574750581402654,0.6265011408651286,0.02247428383531672,0.5659850431264766,0.046643748869292165,0.7084199509684449,0.04478782065469385,0.648045744664302,0.0210758515937096,0.4921609163495105,0.008236474448628512,0.8277028286332813,0.02393300144783009,0.8423069625115212,0.011947090249351247,65.0,0.0,0.608,0.050358713248056686,0.6538556285997622,0.024575806067209806
mlp_select_f_classif_k50,f_classif,50,0.7556251039196107,0.011681963818689998,28.8,11.923086848631105,0.6768570635778367,0.02364265984840251,0.16896932125091552,0.007087676254031136,0.6151541038437254,0.014745668374512909,2.502304680028312,0.09188790215590516,0.49975997156940266,0.01741626172460973,0.7546866482295284,0.011714342215359056,0.6263353039125364,0.014717036802742016,0.5628424090700236,0.0427709162437235,0.7148341959255065,0.0556286114604627,0.6469279721828517,0.020499612228669258,0.4980155865228168,0.018242843631219707,0.8052271652019325,0.016905716465755758,0.840882680916288,0.010125530771619644,50.0,0.0,0.5919999999999999,0.04791659420284375,0.6532942244935315,0.016454255657902934
mlp_select_f_classif_k35,f_classif,35,0.7591901283333777,0.014343167786400943,20.2,6.305553108173779,0.6808786669212592,0.023932348112001622,0.16925161182880402,0.005581408478922549,0.6177574717265337,0.015638103502311197,2.4781796110424517,0.08939607338481743,0.49879773890024043,0.01399909581897465,0.7558044232960774,0.011385746298581273,0.6253863071637434,0.01539731889696647,0.5487086387373385,0.03233278726683595,0.7325170965290819,0.04703481638536284,0.6455333796572036,0.017346732281850356,0.4962154947079136,0.013520317841724866,0.8191208728190278,0.03227806136910464,0.8408965903321558,0.010630914855523602,35.0,0.0,0.576,0.05083306010855536,0.6496818793840871,0.017628018602692745
mlp_select_mutual_info_k65,mutual_info,65,0.7577083934113258,0.011115671216128952,16.2,4.664761515876241,0.6712428856484661,0.02312663748148997,0.17685267329216003,0.00987184711961139,0.6142744386766562,0.012916105317057678,2.5130590507739496,0.08525566326994402,0.5200329672264961,0.027054422315877562,0.7552970623832456,0.006697812330871642,0.6239869487289125,0.012972500247854138,0.544735510848723,0.044461697238858296,0.7400094622299321,0.053824797085743795,0.6483733765625954,0.019678409117927988,0.4862719560252238,0.013686868855600868,0.8341271092887557,0.01435977027751068,0.84237076960509,0.011976067892898453,65.0,0.0,0.592,0.04874423042781577,0.6518503150908217,0.019825679349358805
