metric,model_a,model_b,mean_a,mean_b,mean_diff_a_minus_b,std_diff,effect_size_dz,ci95_lower,ci95_upper,sign_test_p_value,alpha,significant,conclusion
f1,RandomForest sem gender,MLP PyTorch refinada,0.6401570719861087,0.6204527239040883,0.019704348082020352,0.005843578808249732,3.3719658326850213,0.01475127399816254,0.024019471363663513,0.0625,0.05,False,Sem evidência estatística suficiente; preferir parcimônia e contexto.
f1,RandomForest sem gender,Regressão Logística balanceada,0.6401570719861087,0.62785162188775,0.012305450098358728,0.005347275490893413,2.3012560544739684,0.008353234817291045,0.016689110551126252,0.0625,0.05,False,Sem evidência estatística suficiente; preferir parcimônia e contexto.
f1,RandomForest sem gender,RandomForest tunado,0.6401570719861087,0.6395118206155598,0.000645251370549027,0.0025269770734347506,0.25534516214346975,-0.001302855086123511,0.0026578216767285,1.0,0.05,False,Sem evidência estatística suficiente; preferir parcimônia e contexto.
f1,RandomForest sem gender,RandomForest refinado sem gender,0.6401570719861087,0.636072211092539,0.004084860893569719,0.005675810118379029,0.7196965381809366,8.233298795825572e-05,0.009014779290964236,0.375,0.05,False,Sem evidência estatística suficiente; preferir parcimônia e contexto.
f1,MLP PyTorch refinada,Regressão Logística balanceada,0.6204527239040883,0.62785162188775,-0.007398897983661623,0.00413680441999,-1.788553973668281,-0.010602263545639156,-0.0043352784876107275,0.0625,0.05,False,Sem evidência estatística suficiente; preferir parcimônia e contexto.
