model,role,experiment_name,run_name,run_id,metric,mean,std,fold_1,fold_2,fold_3,fold_4,fold_5
Regressão Logística balanceada,baseline,telco-churn-baselines,logistic_regression_balanced,55d9a25c936147a8be40d57f06d0a043,f1,0.62785162188775,0.012793779242343402,0.6455026455026455,0.6240837696335079,0.6390658174097664,0.6102062975027145,0.6203995793901157
MLP PyTorch refinada,modelo_neural,telco-churn-mlp,mlp_config_4_128-64-32,a66dd01773444cfdb639bbd23366233c,f1,0.6204527239040883,0.011821664742765903,0.6326326326326326,0.6140177690029615,0.6347305389221557,0.6032064128256514,0.6176762661370407
RandomForest tunado,tabular_tunado,telco-churn-sklearn-tuning,tuned_final_random_forest_005,2902690db5d74205b64d7e342ac82458,f1,0.6395118206155598,0.013443422635878548,0.6569506726457399,0.6301969365426696,0.6547486033519553,0.625866050808314,0.6297968397291196
RandomForest sem gender,challenger_operacional,telco-churn-feature-ablation,no_gender,0d3b65c9ae43420783c3441115508eb6,f1,0.6401570719861087,0.012297511587314798,0.6547085201793722,0.6323851203501094,0.6555555555555556,0.629757785467128,0.6283783783783784
RandomForest refinado sem gender,refinamento_sem_promocao,telco-churn-f1-refinement,rf_no_gender_refined,c3633f520b8e4ef9afe17325081ee018,f1,0.636072211092539,0.015740532615917707,0.651685393258427,0.6265060240963856,0.6576576576576577,0.6169724770642202,0.6275395033860045
