model,family,balanced_accuracy_mean,balanced_accuracy_std,brier_score_mean,brier_score_std,business_campaign_cost_mean,business_campaign_cost_std,business_fn_mean,business_fn_std,business_fp_mean,business_fp_std,business_incremental_savings_mean,business_incremental_savings_std,business_operational_net_value_mean,business_operational_net_value_std,business_saved_value_mean,business_saved_value_std,business_threshold_mean,business_threshold_std,business_tp_mean,business_tp_std,f1_mean,f1_std,lift_at_top_20pct_mean,lift_at_top_20pct_std,log_loss_mean,log_loss_std,optimal_balanced_accuracy_mean,optimal_balanced_accuracy_std,optimal_f1_mean,optimal_f1_std,optimal_precision_mean,optimal_precision_std,optimal_recall_mean,optimal_recall_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,precision_at_top_20pct_mean,precision_at_top_20pct_std,recall_mean,recall_std,recall_at_top_20pct_mean,recall_at_top_20pct_std,roc_auc_mean,roc_auc_std,threshold_business_mean,threshold_business_std,threshold_f1_mean,threshold_f1_std,valid_f1_optimal_mean,valid_f1_optimal_std
random_forest_005,random_forest,0.7688438590285565,0.011229182073249756,0.15537790720143452,0.004373465957507476,68863.47,6299.353235023416,14.4,8.039900496896712,599.8,76.96076922692497,254522.96999999997,5412.835903997081,243995.36999999997,11678.851795429186,323386.44,9150.283279024736,0.182,0.048332183894378274,359.4,8.01498596380555,0.6395118206155598,0.013443422635878548,2.4969758772320305,0.07607119133703953,0.46734560379358187,0.011407861499427307,0.7600169697952885,0.00970520953515192,0.6340467500400774,0.013703275959944985,0.5691469111797633,0.022044195852065695,0.716978968043469,0.022449287362272235,0.6567849584787033,0.021721690874513457,0.5511936105446453,0.011784034510952527,0.6626334519572954,0.020554489791022996,0.761885851098909,0.022344039856640192,0.49811615604077353,0.015085328873332091,0.8456547105883254,0.009667532122234163,0.182,0.048332183894378274,0.5479999999999999,0.034871191548325395,0.6584736331938378,0.015079905406928124
stack_tuned_002,stacking,0.7676492025664811,0.010417462449802848,0.1641899080358943,0.004752083048222088,64034.96,5386.126993991138,19.6,10.744300814850634,535.8,75.45435706438695,255846.75999999995,5522.339153239329,241814.44,12070.92319698042,319881.72000000003,9747.068630598647,0.20599999999999996,0.04841487374764082,354.2,11.124747188138704,0.632438834067153,0.012103281062238477,2.5371769360977035,0.08750938104707055,0.4947793879370968,0.011551788745506912,0.7581090770000193,0.010739400246847398,0.6321096374477074,0.014951641332012853,0.570283807669837,0.029081510389611095,0.7116199050909665,0.02956150706341576,0.663035970453568,0.018806261271779874,0.5251013908597855,0.009825920272855278,0.6733096085409254,0.023755614616766754,0.7950595690384368,0.018492276006938018,0.5061346790727015,0.01734967699891567,0.8476343343911186,0.010210446453574417,0.20599999999999996,0.04841487374764082,0.6039999999999999,0.051224993899462785,0.6531875793407872,0.013642987235078946
svc_rbf_calibrated_002,svc,0.7390760276751975,0.014279122919883104,0.14288472910629343,0.004415943631577524,57561.530000000006,4814.49494584842,36.8,20.370567002417975,448.6,63.78902726958611,250125.30999999997,9479.969956091634,223898.10999999996,20817.115123676474,307686.83999999997,14163.819016861236,0.11200000000000002,0.03919183588453085,337.0,20.765355763867856,0.6144158914671521,0.020390810660815776,2.419189898220059,0.08952898192673174,0.4404999216559203,0.0121888378500595,0.7587861960772762,0.012776351668895422,0.6306771878198493,0.018402962654118712,0.5575939567402554,0.02921850239505592,0.7276655531820332,0.020481005193982466,0.5854398191314928,0.02562291715076947,0.5997463274425809,0.021275681483022914,0.6419928825622776,0.024094392711474386,0.6302590643861736,0.02572688901324572,0.48259666528078454,0.017731377072728545,0.8259026949114745,0.014239099469283577,0.11200000000000002,0.03919183588453085,0.36199999999999993,0.061773780845921986,0.6453792634885309,0.01291732460318996
extra_trees_021,extra_trees,0.7644269939146957,0.0074023248841538335,0.16193771210218594,0.004614172327795154,65017.840000000004,5392.740052644857,20.0,5.621387729022079,554.6,68.88715410002071,252880.15999999997,3249.290787756609,236864.12000000002,8642.294967576609,317898.0,7585.478466649288,0.22399999999999998,0.0463033476111609,353.8,5.564171097297422,0.6295791568225602,0.008590143680414782,2.4889282726134465,0.06546935827004283,0.48232875364536304,0.012335032895090131,0.7584833856362494,0.009712976006444905,0.6276468119279123,0.007975102864886303,0.547921610449573,0.02389839724670927,0.7394302590643862,0.048749785961453705,0.6563156280736117,0.020928610111288735,0.5259648792352883,0.008741686583804078,0.6604982206405693,0.01780782349209512,0.7843615145302577,0.01675436772698217,0.49651044429470553,0.012946159231707836,0.8445143746398885,0.009608373779246993,0.22399999999999998,0.0463033476111609,0.5419999999999999,0.041665333311999356,0.6525678175819802,0.011605846745177856
hgb_tuned_006,hgb,0.7434378446925427,0.007938392203479944,0.14179236560506586,0.003975217425133165,65584.99,8188.683609677446,21.8,15.509996776273038,566.4,113.26005474128996,252117.52999999997,5279.056861466826,235906.01,15676.63724985048,317702.52,13141.94097116556,0.15999999999999998,0.06418722614352484,352.0,15.84929020492716,0.6203378797914552,0.011794330114639083,2.4889191858931246,0.07818356110569664,0.43464329467527485,0.010365838728075564,0.7521206347182036,0.01252361079983782,0.6264516689766447,0.018536268884417464,0.575806956635525,0.03919529513100088,0.6907571217616952,0.03154192541216415,0.6546667201415383,0.02201400682064309,0.6025904409541005,0.0154569179269973,0.6604982206405694,0.02118558870624515,0.6393686112027067,0.012217699718310281,0.4965090106235035,0.015513487714943685,0.8423566647120475,0.010410047305227012,0.15999999999999998,0.06418722614352484,0.45599999999999985,0.03440930106817049,0.649806426524413,0.019535426606105417
