model,family,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss,valid_precision,valid_recall,valid_f1,valid_balanced_accuracy,valid_optimal_precision,valid_optimal_recall,valid_optimal_f1,valid_optimal_balanced_accuracy,valid_threshold_f1,valid_f1_best_internal,valid_lift_at_top_20pct,status
hgb_tuned_001,hgb,0.8459700346517779,0.6520291494903313,0.1599369884408608,0.4791426037370947,0.5320056899004267,0.8008565310492506,0.6393162393162393,0.7733030723252435,0.6103646833013435,0.6809421841541756,0.6437246963562753,0.7620321430817246,0.62,0.6437246963562753,2.4639259295308547,success
hgb_tuned_002,hgb,0.8484290863117204,0.6484449396271004,0.13981246558514407,0.4266300059651171,0.6023391812865497,0.6616702355460385,0.6306122448979592,0.7520097700141322,0.5767918088737202,0.7237687366167024,0.6419753086419753,0.7660574749544099,0.4499999999999999,0.6419753086419753,2.4639259295308547,success
hgb_tuned_003,hgb,0.8418197644208653,0.6444034528888483,0.13841870448180835,0.4249830338413106,0.631578947368421,0.5653104925053534,0.5966101694915255,0.7231498366699873,0.5489296636085627,0.7687366167023555,0.64049955396967,0.7703806731116105,0.33999999999999997,0.64049955396967,2.4960640938290837,success
hgb_tuned_004,hgb,0.8479880787293687,0.6541212035080493,0.16005214496366343,0.4792046120734393,0.5322128851540616,0.8137044967880086,0.6435224386113463,0.7777950613770028,0.5322128851540616,0.8137044967880086,0.6435224386113463,0.7777950613770028,0.49999999999999994,0.6435224386113463,2.528202258127312,success
hgb_tuned_005,hgb,0.8466418886046289,0.6516956863779974,0.15932716859922305,0.47760999764957224,0.533715925394548,0.7965738758029979,0.6391752577319587,0.772707339756213,0.5370101596516691,0.7922912205567452,0.6401384083044983,0.7728844047142304,0.5099999999999999,0.6401384083044983,2.431787765232626,success
hgb_tuned_006,hgb,0.8483024931408014,0.6495898739262426,0.13982404043560537,0.42931265693131215,0.6185567010309279,0.6423982869379015,0.6302521008403361,0.7497153722170187,0.5520833333333334,0.7944325481798715,0.6514486391571555,0.7809102462692248,0.38999999999999996,0.6514486391571555,2.4746386509635974,success
hgb_tuned_007,hgb,0.8437178345783041,0.6416513011331244,0.15883303029998444,0.4791707652322845,0.5347826086956522,0.7901498929336188,0.6378565254969749,0.7710409433756193,0.5259562841530054,0.8244111349036403,0.6422018348623854,0.7781251965090071,0.4599999999999999,0.6422018348623854,2.4960640938290837,success
hgb_tuned_008,hgb,0.8387815283188096,0.6342278935070584,0.1591204775188777,0.47781975805365823,0.527027027027027,0.7516059957173448,0.6195939982347749,0.754087387348626,0.5592105263157895,0.728051391862955,0.6325581395348837,0.7604708273070571,0.5499999999999999,0.6325581395348837,2.5067768152618264,success
hgb_tuned_009,hgb,0.8471226116915826,0.654145738359624,0.16066280610524808,0.4807096165237777,0.5266106442577031,0.8051391862955032,0.6367485182049111,0.7719668110766542,0.5336194563662375,0.7987152034261242,0.6397941680960549,0.7733916048042522,0.5099999999999999,0.6397941680960549,2.4746386509635974,success
hgb_tuned_010,hgb,0.8481750725635365,0.6533722188785412,0.13984790913392023,0.42688725217002377,0.6088709677419355,0.6466809421841542,0.6272066458982347,0.7483791109684295,0.5313807531380753,0.815845824411135,0.643581081081081,0.778092927661518,0.36999999999999994,0.643581081081081,2.4746386509635974,success
hgb_tuned_011,hgb,0.8487153689073934,0.6568160899970303,0.13514909337799974,0.4128093482753912,0.6597633136094675,0.47751605995717344,0.5540372670807453,0.6943221721733317,0.56,0.7494646680942184,0.6410256410256411,0.7684726740780211,0.31999999999999995,0.6410256410256411,2.5067768152618264,success
hgb_tuned_012,hgb,0.8403627018457781,0.639826645721106,0.13811582253834573,0.424116309924425,0.6609195402298851,0.4925053533190578,0.5644171779141104,0.700657622563702,0.5344827586206896,0.7965738758029979,0.6397248495270851,0.773093738519737,0.26999999999999996,0.6397248495270851,2.4853513723963405,success
hgb_tuned_013,hgb,0.8479359521295786,0.6530203247418591,0.16067335223437637,0.48089879700242366,0.5306406685236769,0.815845824411135,0.6430379746835443,0.7777065288979941,0.5453194650817236,0.7858672376873662,0.643859649122807,0.7746955972053524,0.5299999999999999,0.643859649122807,2.528202258127312,success
hgb_tuned_014,hgb,0.844710722193355,0.641793538572808,0.16160617155468707,0.48415851404480464,0.5309859154929577,0.8072805139186295,0.6406117247238743,0.7749694687058372,0.5823223570190641,0.7194860813704497,0.6436781609195402,0.7666209386759513,0.59,0.6436781609195402,2.4853513723963405,success
hgb_tuned_015,hgb,0.8474494371982035,0.6579974735761708,0.16034375862707528,0.4798456667953253,0.5286713286713287,0.8094218415417559,0.6395939086294417,0.7744945374633045,0.5372492836676218,0.8029978586723768,0.6437768240343348,0.7766921287179505,0.5099999999999999,0.6437768240343348,2.517489536694569,success
hgb_tuned_016,hgb,0.8472665803957649,0.6441232081630179,0.13553044494306538,0.41529009043959997,0.6510989010989011,0.5074946466809421,0.5703971119133574,0.7046746803729286,0.5669421487603306,0.734475374732334,0.6399253731343284,0.7660012113228903,0.32999999999999996,0.6399253731343284,2.4639259295308547,success
hgb_tuned_017,hgb,0.8427290839949826,0.631608292251891,0.1387596582722138,0.42504082759499356,0.6179775280898876,0.588865096359743,0.6030701754385965,0.7287447583807989,0.5331412103746398,0.7922912205567452,0.6373815676141258,0.7709524108966106,0.32999999999999996,0.6373815676141258,2.4853513723963405,success
hgb_tuned_018,hgb,0.847380762471496,0.643219671165878,0.13966387175778913,0.4281563345111927,0.6134969325153374,0.6423982869379015,0.6276150627615062,0.748169777162923,0.556923076923077,0.7751605995717344,0.64816472694718,0.7762974558909677,0.38999999999999996,0.64816472694718,2.4639259295308547,success
hgb_tuned_019,hgb,0.8470216681173859,0.6507440383566948,0.16070102348748105,0.48087409883530574,0.5236768802228412,0.8051391862955032,0.6345991561181434,0.7704212160225584,0.57,0.7323340471092077,0.6410496719775071,0.766476142565423,0.57,0.6410496719775071,2.4853513723963405,success
hgb_tuned_020,hgb,0.8403337426236726,0.6304280892666095,0.14188782735720804,0.43426936548441647,0.5934291581108829,0.6188436830835118,0.6058700209643606,0.7329148863640125,0.5662251655629139,0.7323340471092077,0.6386554621848739,0.7649305475113272,0.41999999999999993,0.6386554621848739,2.4532132080981115,success
hgb_tuned_021,hgb,0.8460684960069371,0.6388509721750013,0.13990378167968756,0.43051651054691153,0.6081632653061224,0.6381156316916489,0.6227795193312434,0.7448692532492247,0.5608214849921012,0.7601713062098501,0.6454545454545455,0.7726667968452651,0.3999999999999999,0.6454545454545455,2.4746386509635974,success
hgb_tuned_022,hgb,0.8396850560485059,0.6304953142336893,0.13948161281948152,0.42647484150425413,0.6546546546546547,0.4668094218415418,0.545,0.6889688531155159,0.5203252032520326,0.8222698072805139,0.6373443983402489,0.7743497413527762,0.24,0.6373443983402489,2.442500486665369,success
hgb_tuned_023,hgb,0.8379681878808136,0.6289050417369338,0.15506783566781107,0.46996425442397843,0.5410852713178295,0.7473233404710921,0.6276978417266187,0.7592876362324548,0.5386904761904762,0.7751605995717344,0.6356453028972783,0.7677966830934406,0.4699999999999999,0.6356453028972783,2.388936879501655,success
hgb_tuned_024,hgb,0.8477671612350199,0.644420664466236,0.1367395594509375,0.4178288256723451,0.6312217194570136,0.5974304068522484,0.6138613861386139,0.7357322049717192,0.5329512893982808,0.7965738758029979,0.6386266094420601,0.772320940992689,0.33999999999999997,0.6386266094420601,2.4532132080981115,success
hgb_tuned_025,hgb,0.8473336003097809,0.6440820397597775,0.14005526144992367,0.42858962226515657,0.6155419222903885,0.6445396145610278,0.6297071129707112,0.74962683973801,0.5629032258064516,0.7473233404710921,0.6421343146274149,0.7689476053205537,0.41999999999999993,0.6421343146274149,2.4746386509635974,success
hgb_tuned_026,hgb,0.8400623533422251,0.6441429199639592,0.13909466781772492,0.4265818802815308,0.624113475177305,0.5653104925053534,0.5932584269662922,0.7212178428523676,0.5277008310249307,0.815845824411135,0.6408746846089151,0.7761609338438982,0.3,0.6408746846089151,2.442500486665369,success
hgb_tuned_027,hgb,0.8476885576321617,0.650976403695261,0.13654865924886161,0.4180858721649697,0.6306306306306306,0.5995717344753747,0.6147091108671789,0.7364164700197584,0.5329593267882188,0.8137044967880086,0.6440677966101694,0.7781814601405267,0.31999999999999995,0.6440677966101694,2.517489536694569,success
hgb_tuned_028,hgb,0.8455281996630801,0.6488349706440318,0.13616436728114065,0.41690522975458066,0.6628895184135978,0.5010706638115632,0.5707317073170731,0.7045538790464307,0.5227882037533512,0.8351177730192719,0.6430338004946414,0.7800009266951073,0.24,0.6430338004946414,2.5067768152618264,success
hgb_tuned_029,hgb,0.8394823414937662,0.6296322272062249,0.14001189180076595,0.4280087842950427,0.6141176470588235,0.5588865096359743,0.5852017937219731,0.7160738576000583,0.5342066957787481,0.7858672376873662,0.6360485268630849,0.769286014516017,0.30999999999999994,0.6360485268630849,2.4853513723963405,success
hgb_tuned_030,hgb,0.8466931877980731,0.6569599928652039,0.13657194701127723,0.4183558327446042,0.6420047732696897,0.576017130620985,0.6072234762979684,0.730048750781899,0.590339892665474,0.7066381156316917,0.6432748538011696,0.7648337409688597,0.4099999999999999,0.6432748538011696,2.4639259295308547,success
hgb_tuned_031,hgb,0.8478995462503598,0.6532147897257266,0.13651636638889936,0.41754445534935486,0.6291079812206573,0.5738758029978587,0.6002239641657335,0.7258868968621441,0.5311614730878187,0.8029978586723768,0.639386189258312,0.7736009386097588,0.32999999999999996,0.639386189258312,2.4853513723963405,success
hgb_tuned_032,hgb,0.8459791361215824,0.6467435800581361,0.14049753313494304,0.42887034209162156,0.6055776892430279,0.6509635974304069,0.6274509803921569,0.74897484353746,0.5468277945619335,0.7751605995717344,0.6412754650132861,0.7716606707286802,0.3999999999999999,0.6412754650132861,2.4746386509635974,success
