model,balanced_accuracy_mean,balanced_accuracy_std,best_epoch_mean,best_epoch_std,best_valid_pr_auc_mean,best_valid_pr_auc_std,brier_score_mean,brier_score_std,business_business_campaign_cost_mean,business_business_campaign_cost_std,business_business_fn_mean,business_business_fn_std,business_business_fp_mean,business_business_fp_std,business_business_incremental_savings_mean,business_business_incremental_savings_std,business_business_operational_net_value_mean,business_business_operational_net_value_std,business_business_saved_value_mean,business_business_saved_value_std,business_business_threshold_mean,business_business_threshold_std,business_business_tp_mean,business_business_tp_std,f1_mean,f1_std,f1_optimal_mean,f1_optimal_std,lift_at_top_20pct_mean,lift_at_top_20pct_std,log_loss_mean,log_loss_std,optimal_balanced_accuracy_mean,optimal_balanced_accuracy_std,optimal_f1_mean,optimal_f1_std,optimal_precision_mean,optimal_precision_std,optimal_recall_mean,optimal_recall_std,pos_weight_mean,pos_weight_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,threshold_business_mean,threshold_business_std,threshold_f1_mean,threshold_f1_std
mlp_config_4_128-64-32,0.7625827963502301,0.010526212468355329,24.8,13.377593206552515,0.6786778215644295,0.019579506305719373,0.17303607165813445,0.005836136786683657,60593.86,3571.296875562155,27.4,6.019966777316964,490.8,47.22880476997063,251924.42,4628.715725187718,230528.66000000006,8662.113122177523,312518.28,6893.958625463321,0.3259999999999999,0.048414873747640794,346.4,6.343500610861482,0.6204527239040883,0.011821664742765903,0.6504204575098909,0.0185422199794856,2.518433904517804,0.0584652029850219,0.5085195134336388,0.014625820385705559,0.7508072683354556,0.007491660761505543,0.6242201158748737,0.012518205002189732,0.5734751394291989,0.044711740442490905,0.6923829049045892,0.04572641502295541,2.767427222659323,0.000385442917825919,0.6492328688515248,0.01650295327581165,0.4943157217504995,0.010013726388628184,0.8330518558873707,0.014979752915453691,0.8422786946104377,0.011408427253990275,0.3259999999999999,0.048414873747640794,0.6199999999999999,0.04472135954999579
mlp_config_3_64-32,0.7597904266982004,0.012241836606918306,23.2,8.772684879784524,0.6760448111615992,0.021415340433852334,0.16940154433250426,0.00440986573699645,64923.920000000006,3201.356663291365,19.2,4.955804677345546,541.6,45.257485568687976,254953.84000000003,3943.1750757986674,240917.56,6289.6167433635965,319877.76,5814.60626684213,0.25199999999999995,0.03969886648255841,354.6,5.238320341483518,0.6188268385381562,0.013019112459273691,0.6493566730124697,0.020410686233202247,2.4996481995360105,0.06233327627601714,0.5003120229650222,0.011563456544827464,0.7489076586348675,0.013140680504893872,0.6233150691211549,0.016708960538490296,0.5809672306186566,0.02419792578554047,0.6746655961921693,0.037720915217985915,2.767427222659323,0.000385442917825919,0.6488207807164256,0.018561155020897998,0.49849062656966847,0.010430904443386818,0.8164528107123912,0.029431857507553245,0.8428541546494855,0.009887067740149504,0.25199999999999995,0.03969886648255841,0.6279999999999999,0.03370459909270542
mlp_config_1_64-32,0.7593962850798466,0.010399356053473481,13.4,8.380930735902785,0.6802252063133919,0.021254858395458834,0.17053587436676027,0.0044044207190714535,64123.170000000006,5890.758499429422,21.8,9.537295214053092,538.0,86.64871608973787,253454.55,4317.961502491665,237118.22999999998,11266.477066350431,317577.72000000003,9962.048481391766,0.23999999999999994,0.08318653737234168,352.0,9.757048734120374,0.6190357695354052,0.012327038814657262,0.6532696810793366,0.0183886082980907,2.4486874893208075,0.06345134100488763,0.5050913443594881,0.00961534180525319,0.7480694361018088,0.014852977577873936,0.6215595394801104,0.017963303754488295,0.5762298209904435,0.017880055741724833,0.6762741752806412,0.03844806871504725,2.767427222659323,0.000385442917825919,0.650472340342367,0.01593174936709467,0.5003206438692823,0.013784059408118917,0.812184771544494,0.018945904233172575,0.8406934271370794,0.00907754189278597,0.23999999999999994,0.08318653737234168,0.6299999999999999,0.017888543819998284
mlp_config_2_128-64,0.7577431473165358,0.0157635902940136,11.2,5.2687759489277965,0.6747095124961867,0.019243672376349618,0.16820602416992186,0.005845836142508956,61783.61,4603.799244689108,24.6,7.002856560004639,505.0,59.177698502053964,253643.83,3648.1032864489957,235157.22999999998,8368.305574762428,315427.44,7556.555716356498,0.25999999999999995,0.04732863826479692,349.2,7.2221880341071145,0.6179250031347838,0.017863177737489185,0.6451380494844507,0.020964505325385782,2.4889033440814456,0.09134504275669474,0.49693544157777225,0.014981010903687949,0.7487478301576456,0.007635371146949161,0.6203538571937922,0.016123659388727105,0.5625938355404203,0.053677975723670245,0.7019971039841723,0.050543587078055334,2.767427222659323,0.000385442917825919,0.6489533455788242,0.016664349676310062,0.5023961322380742,0.01571544464505483,0.8030795257415664,0.029609466423202977,0.8415640700332935,0.011581139071172726,0.25999999999999995,0.04732863826479692,0.602,0.07413501197140256
